Name,Genre,Attribute,Locked?,Description
Collateral Control,Superhero,WIS,FALSE,Minimizing damage to the environment and civilians.
Gadgetry,Superhero,INT,FALSE,Using and maintaining hero-tech and utility belts.
Nemesis Lore,Superhero,INT,FALSE,"Knowledge of supervillains their powers and history."
Athletics,Universal,STR,FALSE,"Feats of strength lifting swimming and forcing open doors."
Acrobatics,Universal,DEX,FALSE,"Balancing tumbling dodging and escaping restraints."
Stealth,Universal,DEX,FALSE,"Hiding moving silently and blending into shadows."
Awareness,Universal,WIS,FALSE,"Spotting danger hearing faint noises and noticing details."
Intuition,Universal,WIS,FALSE,"Reading body language detecting lies and sensing motives."
Survival,Universal,WIS,FALSE,"Tracking finding food navigating wilderness and enduring elements."
Diplomacy,Universal,CHA,FALSE,"Convincing others diplomatic negotiation and inspiring confidence."
Subterfuge,Universal,CHA,FALSE,"Lying creating disguises and passing off forgeries."
Intimidation,Universal,CHA,FALSE,Using fear or physical presence to force compliance.
Medical,Universal,INT,FALSE,"Stabilizing the dying treating wounds and diagnosing ailments."
Light Weapons,Universal,DEX,FALSE,"Usage of daggers shortswords and precision melee weapons."
Heavy Weapons,Universal,STR,FALSE,"Usage of axes hammers and massive two-handed weapons."
Archery,Universal,DEX,FALSE,Usage of bows and their relatives.
Brawling,Universal,STR,FALSE,"Unarmed combat grappling and martial arts."
Riding,Western,DEX,FALSE,Controlling horses during chases or combat.
Gambling,Western,WIS,FALSE,"Games of chance cheating and spotting cheats."
Tracking,Western,WIS,FALSE,Following trails across difficult frontier terrain.
Gunsmithing,Western,INT,FALSE,"Repairing modifying and crafting ammunition for firearms."
Wrangling,Western,STR,FALSE,"Roping cattle breaking horses and handling livestock."
Negotiation,Western,CHA,FALSE,Haggling prices and settling disputes without drawing iron.
Firearms,Universal,DEX,FALSE,Useage of guns in their various forms.
Thrown Weapons,Universal,DEX,FALSE,"Useage of throwing knives shurikens javelins and other throwing weapons."
