Deck,Type,Name,Description,Mechanic
Alpha Centauri,Item,Hydro-Spanner,Universal repair tool essential for maintaining ship systems,"{""utility"":""repair""}"
Alpha Centauri,Item,Mag-Boots,Magnetic footwear allowing you to walk on metal surfaces in zero-G,"{""movement"":""zero-g""}"
Alpha Centauri,Item,Mining Ship,Industrial vessel equipped with drilling lasers,"{""vehicle"":""mining""}"
Alpha Centauri,Item,Plasma Gun,Standard sidearm firing superheated ionized gas,"{""damage"":3,""range"":""medium""}"
Alpha Centauri,Item,Portable Air Scrubber,Personal CO2 recycling unit extends oxygen supply,"{""utility"":""survival""}"
Alpha Centauri,Item,Ration Packs,Vacuum-sealed nutritionally complete meals,"{""consumable"":true}"
Alpha Centauri,Item,Refined Nebula Gas,Exotic fuel source harvested from stellar nebulae,"{""value"":""high""}"
Alpha Centauri,Item,Space Suit,EVA suit with life support and radiation shielding,"{""armor"":1,""environment"":""vacuum""}"
Alpha Centauri,Item,Star Fighter,Agile combat spacecraft for dogfighting,"{""vehicle"":""combat""}"
Alpha Centauri,Skill,Atmosphere Analysis,Determine breathability and safety of alien air,"{""skill"":""science""}"
Alpha Centauri,Skill,Botany,Cultivate plants in artificial environments,"{""skill"":""science""}"
Alpha Centauri,Skill,Centauri Language Expert,Fluent in dialects slang and cultural nuances,"{""skill"":""social""}"
Alpha Centauri,Skill,Electronics Repair,Fix and maintain complex technical systems,"{""skill"":""tech""}"
Alpha Centauri,Skill,Emergency Medicine,Treat injuries and illnesses with limited resources,"{""skill"":""medicine""}"
Alpha Centauri,Skill,Energy Based Weapons,Proficiency with plasma laser and particle beam weaponry,"{""skill"":""combat""}"
Alpha Centauri,Skill,Extra Vehicular Activity,Safely operate outside pressurized environments,"{""skill"":""survival""}"
Alpha Centauri,Skill,First Contact Protocol,Proper diplomatic procedures for encountering unknown species,"{""skill"":""social""}"
Alpha Centauri,Skill,Geology,Identify valuable mineral deposits,"{""skill"":""science""}"
Alpha Centauri,Skill,Heavy Machinery Operation,Operate mining equipment and construction vehicles,"{""skill"":""tech""}"
Alpha Centauri,Skill,Jump Space Calculations,Plot faster-than-light routes,"{""skill"":""pilot""}"
Alpha Centauri,Skill,Proxima Martial Arts,Combat system developed specifically for zero-G,"{""skill"":""combat""}"
Alpha Centauri,Skill,Space Combat Strategy,Tactical understanding of three-dimensional warfare,"{""skill"":""tactics""}"
Alpha Centauri,Skill,Space Piloting,Operate spacecraft from small shuttles to large vessels,"{""skill"":""pilot""}"
Alpha Centauri,Skill,Trading,Negotiate deals and understand market values,"{""skill"":""social""}"
Alpha Centauri,Skill,Zero G Gym,Physical conditioning for weightlessness,"{""skill"":""athletics""}"
Alpha Centauri,Trait,Adaptable,Quickly adjust to new situations alien cultures,"{""trait"":true}"
Alpha Centauri,Trait,Analytical,Logical mind that excels at problem-solving,"{""trait"":true}"
Alpha Centauri,Trait,Balance,Exceptional equilibrium especially in zero-gravity,"{""trait"":true}"
Alpha Centauri,Trait,Cold-Adapted,Comfortable in near-freezing temperatures,"{""trait"":true}"
Alpha Centauri,Trait,Disciplined,Self-control and strict adherence to protocols,"{""trait"":true}"
Alpha Centauri,Trait,Immune System,Robust resistance to disease and alien pathogens,"{""trait"":true}"
Alpha Centauri,Trait,Intuitive Navigator,Possess natural three-dimensional spatial sense,"{""trait"":true}"
Alpha Centauri,Trait,Multi-Spectral Vision,Eyes process ultraviolet and infrared wavelengths,"{""trait"":true}"
Alpha Centauri,Trait,Radiation-Hardened,Cellular structure naturally resistant to cosmic rays,"{""trait"":true}"
Alpha Centauri,Trait,Reflexes,Lightning-fast reaction time providing edge in combat,"{""trait"":true}"
Alpha Centauri,Trait,Resourceful,Ability to improvise solutions with limited supplies,"{""trait"":true}"
Alpha Centauri,Trait,Stellar Intuition,Uncanny ability to predict stellar phenomena,"{""trait"":true}"
Alpha Centauri,Trait,Strength,Physical power enhanced through exercise or augmentation,"{""trait"":true}"
Alpha Centauri,Trait,Tech-Savvy,Intuitive understanding of technology,"{""trait"":true}"
Alpha Centauri,Trait,Vacuum-Born,Comfortable in low/zero pressure environments,"{""trait"":true}"
Alpha Centauri,Trait,Willpower,Mental fortitude to endure isolation and hardship,"{""trait"":true}"
Cyberpunk,Origin,Street Samurai,Honorable mercenary of the concrete jungle.,"{""components"":[""Reflexes (Trait)"",""Honor (Trait)"",""Kenjutsu (Skill)"",""Intimidation (Skill)"",""Athletics (Skill)"",""Mono-Katana (Item)"",""Armored Jacket (Item)"",""Sandevistan Speed (Ability)""],""drawbacks"":[""Cyberpsychosis Risk""]}"
Cyberpunk,Ability,Bio EMP,Discharge stored body electricity to fry nearby electronics,"{""damage"":1,""target"":""tech""}"
Cyberpunk,Ability,Chameleon Skin,Dermal cells change color and texture to blend in,"{""stealth"":2}"
Cyberpunk,Ability,Cyber-Arm Blades,Retractable mono-molecular blades housed in forearm,"{""damage"":2,""concealed"":true}"
Cyberpunk,Ability,Dermal Armor,Subdermal plating that stops small caliber rounds,"{""armor"":2}"
Cyberpunk,Ability,Implanted Weapon System,Concealed pop-out gun or blade in cybernetic limb,"{""damage"":2,""concealed"":true}"
Cyberpunk,Ability,Infrared Vision,Optical replacement allowing heat-signature tracking,"{""perception"":""heat""}"
Cyberpunk,Ability,Memory Download,Instantly learn a skillsoft packet temporarily,"{""utility"":""skill""}"
Cyberpunk,Ability,Muscle Implants,Synthetic fibers woven into muscles to increase lifting power,"{""strength"":2}"
Cyberpunk,Ability,Neural Linkup,Interface cables allow direct mental connection to machines,"{""utility"":""interface""}"
Cyberpunk,Ability,Optical Zoom/Record,Telescopic vision with internal storage for video,"{""perception"":""visual""}"
Cyberpunk,Ability,Pain Editor,Neural shunt that disconnects pain receptors on command,"{""resistance"":""pain""}"
Cyberpunk,Ability,Reflex Booster,Adrenal stimulant injector that slows down perception of time,"{""initiative"":2}"
Cyberpunk,Ability,Sandevistan Speed,Move faster than the eye can see,"{""initiative"":2}"
Cyberpunk,Ability,Subvocal Comms,Communicate silently via throat vibrations,"{""utility"":""comms""}"
Cyberpunk,Ability,Voice Modulator,Alter vocal cords to mimic voices,"{""social"":""deception""}"
Cyberpunk,Ability,Wall Running (Mag-Grip),Magnetic pads in palms and feet allow vertical movement,"{""movement"":""wall_run""}"
Cyberpunk,Character,Activist/Rebel,Fighting to tear down the corporate oligarchy,"{""power_level"":2,""connection"":""resistance""}"
Cyberpunk,Character,Android Mercenary,Combat model robot with removed inhibitor protocols,"{""power_level"":3,""connection"":""mercenary""}"
Cyberpunk,Character,Braindance Star,Celebrity whose recorded memories are sold as entertainment,"{""power_level"":2,""connection"":""media""}"
Cyberpunk,Character,City Police,Overworked underpaid enforcer of corporate law,"{""power_level"":3,""connection"":""police""}"
Cyberpunk,Character,Company Executive,High-ranking suit with resources and zero morals,"{""power_level"":3,""connection"":""corporate""}"
Cyberpunk,Character,Connected Bartender,Knows every rumor and secret in the sector,"{""power_level"":2,""connection"":""street""}"
Cyberpunk,Character,Corporate Assassin,Highly trained killer on the company payroll,"{""power_level"":4,""connection"":""corporate""}"
Cyberpunk,Character,Data Courier,Transports sensitive information in a head-storage drive,"{""power_level"":2,""connection"":""underworld""}"
Cyberpunk,Character,Drone Rigger,Controls a swarm of surveillance and combat drones,"{""power_level"":3,""connection"":""tech""}"
Cyberpunk,Character,Fixer (Job Broker),Middleman who matches mercenaries with paying clients,"{""power_level"":3,""connection"":""underworld""}"
Cyberpunk,Character,Jet Biker,Thrill-seeker belonging to a high-speed motorized gang,"{""power_level"":2,""connection"":""gang""}"
Cyberpunk,Character,Neural Hacker,A brilliant coder who lives mostly in the virtual expanse,"{""power_level"":2,""connection"":""tech""}"
Cyberpunk,Character,Organ Vendor,Shady dealer selling slightly used biological parts,"{""power_level"":2,""connection"":""black_market""}"
Cyberpunk,Character,Ripperdoc,Unlicensed surgeon operating out of a basement clinic,"{""power_level"":2,""connection"":""medical""}"
Cyberpunk,Character,Tech Cultist,Worships the singularity and machine evolution,"{""power_level"":2,""connection"":""cult""}"
Cyberpunk,Character,Wasteland Barbarian,Survivor from the toxic zones outside the city limits,"{""power_level"":3,""connection"":""outlander""}"
Cyberpunk,Drawback,Bio-Rejection,Body constantly fights the implants requires expensive medication,"{""sickness"":""rejection""}"
Cyberpunk,Drawback,Corporate Target,A megacorp has put a high price on your head,"{""hunted"":true}"
Cyberpunk,Drawback,Cyberpsychosis Risk,Too much chrome is causing dissociation from humanity,"{""sanity_loss"":true}"
Cyberpunk,Drawback,Debt Bondage,Owe a massive sum to a loan shark,"{""debt"":true}"
Cyberpunk,Drawback,Dopamine Starved,Ability to feel pleasure is dulled prone to risk-taking,"{""sanity_loss"":true}"
Cyberpunk,Drawback,EMP Vulnerability,Electrical attacks deal double damage and stun you,"{""weakness"":""electricity""}"
Cyberpunk,Drawback,Flashy Signature,Your hacks or gear leave a distinct trace easy to track,"{""stealth_penalty"":true}"
Cyberpunk,Drawback,Glitchy Vision,Optical implants fritz out under stress,"{""glitch"":true}"
Cyberpunk,Drawback,Identity Theft Victim,Your digital ID is compromised assets are frozen,"{""poverty"":true}"
Cyberpunk,Drawback,Insomniac,The neon lights and city noise make sleep nearly impossible,"{""fatigue"":true}"
Cyberpunk,Drawback,Net Addicted,Withdrawal symptoms occur if disconnected for over an hour,"{""addiction"":true}"
Cyberpunk,Drawback,Obsolescence,Your implants are outdated parts are hard to find,"{""maintenance"":true}"
Cyberpunk,Drawback,Paranoia,Constantly checking corners trust is a foreign concept,"{""sanity_loss"":true}"
Cyberpunk,Drawback,Sensory Overload,Loud noises and bright lights can cause seizures,"{""weakness"":""sensory""}"
Cyberpunk,Drawback,System Backdoor,A known exploit exists in your OS that hackers can abuse,"{""vulnerability"":true}"
Cyberpunk,Drawback,Tracker Implant (Unwanted),Someone knows where you are and you can't cut it out,"{""tracking"":true}"
Cyberpunk,Item,Armored Jacket,Kevlar weave street wear,"{""armor"":2}"
Cyberpunk,Item,Carbonweave Suit,Fashionable clothing that acts as ballistic armor,"{""armor"":1}"
Cyberpunk,Item,Combat Stims,Injectable drugs providing temporary speed and strength,"{""buff"":""combat""}"
Cyberpunk,Item,DiamondClub Membership,Access to the most exclusive and safe venue in the city,"{""utility"":""social""}"
Cyberpunk,Item,Encrypted Drive,Data stick with military-grade encryption,"{""value"":""high""}"
Cyberpunk,Item,Fake ID,High-quality digital identity capable of passing checkpoints,"{""utility"":""deception""}"
Cyberpunk,Item,Grav Bike,High-speed hovercycle for weaving through traffic,"{""vehicle"":""bike""}"
Cyberpunk,Item,Grav Car,Hover vehicle capable of vertical takeoff,"{""vehicle"":""car""}"
Cyberpunk,Item,Handheld Net Terminal,Portable deck for basic hacking and communication,"{""utility"":""hacking""}"
Cyberpunk,Item,Jamming Device,Blocks local wireless signals and communications,"{""utility"":""stealth""}"
Cyberpunk,Item,Molecular Blade,Knife with an edge sharpened to a single atom width,"{""damage"":2}"
Cyberpunk,Item,Mono-Filament Whip,Dangerous wire weapon capable of slicing limbs,"{""damage"":3,""tag"":""finesse""}"
Cyberpunk,Item,Mono-Katana,Blade sharpened to a single atom width,"{""damage"":3,""tag"":""finesse""}"
Cyberpunk,Item,Neural Proxy,Device that routes your consciousness through dummy identities,"{""utility"":""hacking""}"
Cyberpunk,Item,Portable Drone,Small flying unit for scouting or distraction,"{""utility"":""scout""}"
Cyberpunk,Item,Skeleton Key Card,Illegal decryption card for standard electronic locks,"{""utility"":""access""}"
Cyberpunk,Item,Smart Goggles,Eyewear providing HUD night vision and zoom,"{""perception"":1}"
Cyberpunk,Item,Stun Baton,Non-lethal weapon that delivers incapacitating shocks,"{""damage"":1,""tag"":""stun""}"
Cyberpunk,Skill,Athletics,Running jumping and physical conditioning,"{""skill"":""athletics""}"
Cyberpunk,Skill,Black Market Trading,Knowing the value of illicit goods and where to sell,"{""skill"":""social""}"
Cyberpunk,Skill,Coding,Write software create viruses and develop digital tools,"{""skill"":""tech""}"
Cyberpunk,Skill,Corporate Law,Navigation of bureaucracy and legal loopholes,"{""skill"":""knowledge""}"
Cyberpunk,Skill,Drone Piloting,Remote operation of unmanned aerial vehicles,"{""skill"":""pilot""}"
Cyberpunk,Skill,Grav Driving,Piloting hover vehicles in 3D urban environments,"{""skill"":""pilot""}"
Cyberpunk,Skill,Implant Repair,Installing and fixing cybernetic augmentations,"{""skill"":""tech""}"
Cyberpunk,Skill,Information Gathering,Sifting through data and rumors to find the truth,"{""skill"":""investigation""}"
Cyberpunk,Skill,Intimidation,Using presence or threats to coerce others,"{""skill"":""social""}"
Cyberpunk,Skill,Jury-Rigging,Making temporary repairs with duct tape and hope,"{""skill"":""tech""}"
Cyberpunk,Skill,Kenjutsu,Japanese sword martial arts,"{""skill"":""combat""}"
Cyberpunk,Skill,Mechanical,Repairing physical hardware drones and vehicles,"{""skill"":""tech""}"
Cyberpunk,Skill,Net Hacking,Breaking ice stealing data and subverting systems,"{""skill"":""tech""}"
Cyberpunk,Skill,Parkour,Efficient movement through complex urban architecture,"{""skill"":""athletics""}"
Cyberpunk,Skill,Slick Talking,Talking your way into or out of trouble,"{""skill"":""social""}"
Cyberpunk,Skill,Urban Stealth,Move unseen through crowded city environments,"{""skill"":""stealth""}"
Cyberpunk,Skill,Weapons Training,Proficiency with modern firearms and melee tech,"{""skill"":""combat""}"
Cyberpunk,Trait,Agility,Enhanced mobility and dexterity,"{""trait"":true}"
Cyberpunk,Trait,Alert,Constant vigilance for threats and opportunities,"{""trait"":true}"
Cyberpunk,Trait,Ambitious,Relentless drive to climb social and corporate ladder,"{""trait"":true}"
Cyberpunk,Trait,Brawn,Raw physical strength useful for intimidation,"{""trait"":true}"
Cyberpunk,Trait,Chrome-Adapted,Body accepts cybernetics without rejection,"{""trait"":true}"
Cyberpunk,Trait,Cold,Emotional detachment making ruthless decisions easier,"{""trait"":true}"
Cyberpunk,Trait,Corporate-Minded,Natural understanding of business hierarchies,"{""trait"":true}"
Cyberpunk,Trait,Grit,Determination to survive in brutal urban environment,"{""trait"":true}"
Cyberpunk,Trait,Honor,Adherence to a personal code of ethics,"{""trait"":true}"
Cyberpunk,Trait,Looks,Attractive appearance leveraged for social manipulation,"{""trait"":true}"
Cyberpunk,Trait,Neon-Blessed,Thrive in artificial light and electromagnetic fields,"{""trait"":true}"
Cyberpunk,Trait,Net Native,Grew up immersed in cyberspace,"{""trait"":true}"
Cyberpunk,Trait,Opportunistic,Quick to recognize and exploit situations for gain,"{""trait"":true}"
Cyberpunk,Trait,Rebellious,Instinctive resistance to authority,"{""trait"":true}"
Cyberpunk,Trait,Sharp Senses,Heightened perception from implants or training,"{""trait"":true}"
Cyberpunk,Trait,Street Smart,Instinctively understand urban dangers and crime,"{""trait"":true}"
Cyberpunk,Trait,Stylish,Distinctive personal aesthetic and fashion awareness,"{""trait"":true}"
Fantasy,Origin,Hedge Wizard,Self-taught caster from the wilds.,"{""components"":[""Wise (Trait)"",""Resourceful (Trait)"",""Alchemy (Skill)"",""History/Lore (Skill)"",""Survival (Skill)"",""Staff (Item)"",""Folk Magic (Ability)"",""Minor Illusion (Ability)""],""drawbacks"":[""Magic Addiction"",""Weak Constitution""]}"
Fantasy,Ability,Bardic Inspiration,Empower allies through stirring music and words,"{""buff"":""allies""}"
Fantasy,Ability,Beast Form,Transform into a powerful animal for limited time,"{""transform"":true}"
Fantasy,Ability,Blood Magic,Cast spells using life force as energy source,"{""damage"":3,""cost"":""hp""}"
Fantasy,Ability,Conjure,Summon creatures or objects to aid you,"{""summon"":true}"
Fantasy,Ability,Darkvision,See perfectly in complete darkness,"{""perception"":""dark""}"
Fantasy,Ability,Detect Magic,Sense presence and nature of magical energies,"{""perception"":""magic""}"
Fantasy,Ability,Divine Shield,Conjure protective barriers of holy energy,"{""shield"":2}"
Fantasy,Ability,Elemental Control,Command flames or frost to attack or defend,"{""damage"":2,""type"":""elemental""}"
Fantasy,Ability,Familiar Bond,Psychic link with animal companion,"{""minion"":true}"
Fantasy,Ability,Fireball,Explosive burst of flame,"{""damage"":3,""area"":true}"
Fantasy,Ability,Folk Magic,Simple spells for everyday tasks,"{""utility"":""magic""}"
Fantasy,Ability,Innate Sorcery,Born with natural magical talent,"{""skill_bonus"":""magic""}"
Fantasy,Ability,Magical Healing,Mend wounds and restore vitality,"{""heal"":2}"
Fantasy,Ability,Minor Illusion,Create visual or auditory distractions,"{""utility"":""deception""}"
Fantasy,Ability,Necromancer,Command undead servants and death magic,"{""minion"":""undead""}"
Fantasy,Ability,Rage,Enter berserker fury gaining strength,"{""buff"":""combat""}"
Fantasy,Ability,Shape Change,Transform into animal form,"{""transform"":true}"
Fantasy,Ability,Spirit Caller,Summon and bind spirits of dead,"{""summon"":true}"
Fantasy,Ability,Teleportation (Short Range),Instantly transport yourself up to 60 feet,"{""movement"":""teleport""}"
Fantasy,Ability,Trained Magician,Studied arcane arts through formal education,"{""skill_bonus"":""magic""}"
Fantasy,Character,Barbarian Chief,Leader of warrior tribe strong and proud,"{""power_level"":4,""connection"":""tribal""}"
Fantasy,Character,Barkeep,Tavern owner who knows everyone's secrets,"{""power_level"":2,""connection"":""local""}"
Fantasy,Character,Bounty Hunter,Professional tracker who captures criminals,"{""power_level"":3,""connection"":""law""}"
Fantasy,Character,Cultist,Fanatic devoted to dark god,"{""power_level"":2,""hostile"":true}"
Fantasy,Character,Dragon,Ancient intelligent reptile of immense power,"{""power_level"":5,""boss"":true}"
Fantasy,Character,Elven Ranger,Woodland protector skilled with bow,"{""power_level"":3,""connection"":""nature""}"
Fantasy,Character,Goblin Scout,Small cunning creature,"{""power_level"":1,""minion"":true}"
Fantasy,Character,Guard,Town watchman maintaining order,"{""power_level"":2,""connection"":""law""}"
Fantasy,Character,Guild Master,Leader of thieves or merchants,"{""power_level"":3,""connection"":""guild""}"
Fantasy,Character,Ogre,Large brutish creature,"{""power_level"":4,""hostile"":true}"
Fantasy,Character,Paladin,Holy warrior champion of justice,"{""power_level"":4,""connection"":""religious""}"
Fantasy,Character,Royal Personage,Noble wielding political power,"{""power_level"":2,""connection"":""noble""}"
Fantasy,Character,Travelling Merchant,Trader with exotic goods,"{""power_level"":2,""connection"":""trade""}"
Fantasy,Character,Undead Knight,Cursed warrior fighting after death,"{""power_level"":4,""hostile"":true}"
Fantasy,Character,Village Elder,Wise leader knowing local history,"{""power_level"":1,""connection"":""local""}"
Fantasy,Character,Wizard's Apprentice,Young student of magic,"{""power_level"":2,""connection"":""magic""}"
Fantasy,Drawback,Bloodlust,Difficult to stop fighting once combat begins,"{""berserk"":true}"
Fantasy,Drawback,Bounty on Head,Large reward offered for your capture,"{""hunted"":true}"
Fantasy,Drawback,Code of Pacifism,Cannot strike first blow or intentionally kill,"{""restriction"":""violence""}"
Fantasy,Drawback,Cursed Item,Possess an item that brings bad luck,"{""curse"":true}"
Fantasy,Drawback,Fear of Magic,Panic when near spells,"{""fear"":""magic""}"
Fantasy,Drawback,Greed,Compulsive need to acquire treasure,"{""compulsion"":""wealth""}"
Fantasy,Drawback,Infamous,Recognized everywhere as a villain,"{""reputation"":-1}"
Fantasy,Drawback,Magic Addiction,Physical need to channel energy,"{""addiction"":true}"
Fantasy,Drawback,Oathbound,Sworn to a vow that limits freedom,"{""restriction"":""oath""}"
Fantasy,Drawback,Phobia,Irrational terror triggers in specific conditions,"{""fear"":""specific""}"
Fantasy,Drawback,Pipeweed Addiction,Constantly smoking smell gives away position,"{""addiction"":true}"
Fantasy,Drawback,Small Stature,Physically weaker due to size,"{""weakness"":""strength""}"
Fantasy,Drawback,Unlucky,Critical failures happen more often,"{""luck"":-1}"
Fantasy,Drawback,Vengeful,Must prioritize revenge over safety,"{""obsession"":true}"
Fantasy,Drawback,Wanted Heretic,Hunted by religious order,"{""hunted"":true}"
Fantasy,Drawback,Weak Constitution,Prone to sickness recover slowly,"{""weakness"":""health""}"
Fantasy,Item,Bag of Holding,Magical satchel with immense interior space,"{""utility"":""inventory""}"
Fantasy,Item,Cloak of Elvenkind,Grants enhanced stealth in natural settings,"{""stealth"":1}"
Fantasy,Item,Gem of Seeing,Reveals invisible creatures and illusions,"{""perception"":""magic""}"
Fantasy,Item,Heirloom Longbow,Masterwork bow with exceptional range,"{""damage"":2,""range"":""long""}"
Fantasy,Item,Longboat,Viking-style vessel for travel,"{""vehicle"":""boat""}"
Fantasy,Item,Magic Sword,Enchanted blade that never dulls,"{""damage"":2,""magical"":true}"
Fantasy,Item,Musical Instrument,Lute or harp for channeling magic,"{""utility"":""bard""}"
Fantasy,Item,Potion of Healing,Elixir that restores vitality,"{""heal"":2,""consumable"":true}"
Fantasy,Item,Ring of Invisibility,Renders wearer unseen when activated,"{""stealth"":3}"
Fantasy,Item,Rope & Grapple,Essential climbing gear,"{""utility"":""climb""}"
Fantasy,Item,Shirt of Elven Chain,Lightweight armor providing protection,"{""armor"":2,""tag"":""light""}"
Fantasy,Item,Spellbook,Tome containing magical formulas,"{""utility"":""magic""}"
Fantasy,Item,Staff,Simple wooden focus,"{""damage"":1,""type"":""focus""}"
Fantasy,Item,Thieves Tools,Lockpicks and equipment for security,"{""utility"":""lockpick""}"
Fantasy,Item,Tower Shield,Massive protective barrier,"{""armor"":2,""tag"":""heavy""}"
Fantasy,Item,Wagon,Sturdy cart for transporting goods,"{""vehicle"":""cart""}"
Fantasy,Item,Wand of Detection,Reveals hidden doors and traps,"{""utility"":""detect""}"
Fantasy,Skill,Alchemy,Mix potions and poisons,"{""skill"":""craft""}"
Fantasy,Skill,Arcane Spellcasting,Cast wizard spells,"{""skill"":""magic""}"
